detector;screenshot_path;artifact_goal;artifacttype_retrieved;features_extracted;matching_finished;total;found;match_count
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;01_Jibberish-Mittel;201,4137;103,622;10,0677;315,1034;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;02_Link_Only-Schwer;25,0161;385,0741;106,5868;10,2054;526,8824;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;03_Targo_Bank-Schwer;112,3216;636,2251;97,7972;12,7881;859,132;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;04_Targeted_IT_Abteilung-Einfach;213,5718;524,9943;102,6687;70,6998;911,9346;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;04_Targeted_IT_Abteilung-Schwer;298,1308;318,7879;100,1295;12,4111;729,4593;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;05_Newsletter-Schwer;619,5544;655,8253;176,6272;12,0648;1464,0717;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;06_Versichertenkarte-Schwer;659,5297;196,5149;107,7383;26,5079;990,2908;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;07_Paypal-Mittel;728,7136;414,9673;326,8842;87,1819;1557,747;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;08_Weiterbildung-Schwer;906,2839;937,0378;97,2215;14,3117;1954,8549;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;12_IT_Ticket-Mittel;1030,1419;513,6763;107,7895;12,8955;1664,5032;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;browser_advertisement;1054,9124;103,4972;100,3748;7,3674;1266,1518;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;browser_defacing;1134,5174;99,6919;96,4121;7,1524;1337,7738;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;email-bounce-exchange-de;1052,4118;174,4401;103,5073;7,4773;1337,8365;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;exe_anti_virus_extended;1364,447;12,6985;98,5248;6,2167;1481,887;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;exe_anti_virus_simple;1347,2128;70,9971;100,7648;6,8441;1525,8188;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;exe_file_scanner;1155,5558;103,852;100,242;14,6048;1374,2546;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;exe_login_window;1158,9065;99,1855;94,2148;6,2339;1358,5407;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;exe_self_remove;1259,108;75,0625;107,1119;6,9753;1448,2577;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;exe_updater_generic;1323,0443;17,132;280,0016;7,2442;1627,4221;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;exe_updater_human;1654,0968;122,3279;93,4784;10,764;1880,6671;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;exe_updater_java;1572,6056;110,7083;165,5141;17,6123;1866,4403;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;exe_updater_remote;1895,5107;77,438;123,5094;8,3397;2104,7978;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;exe_updater_simple;1881,5263;79,0397;101,817;7,514;2069,897;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;ms_word_protected_view;1654,2958;305,5658;97,1616;82,2996;2139,3228;False;0
