detector;screenshot_path;temp;artifact_visible;artifact_goal;artifacttype_retrieved;features_extracted;matching_finished;total;found;match_count;False
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-1-1.png;01_Jibberish-Mittel-1-1.png;01_Jibberish-Mittel;01_Jibberish-Mittel;195,0507;100,8972;114,7577;410,7056;True;92;True
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-1-2.png;01_Jibberish-Mittel-1-2.png;01_Jibberish-Mittel;01_Jibberish-Mittel;191,0897;303,2171;223,1392;717,446;True;130;True
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-2-1.png;01_Jibberish-Mittel-2-1.png;01_Jibberish-Mittel;01_Jibberish-Mittel;204,4857;503,4844;118,9624;826,9325;True;149;True
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-2-2.png;01_Jibberish-Mittel-2-2.png;01_Jibberish-Mittel;01_Jibberish-Mittel;195,0603;224,7702;286,4129;706,2434;True;90;True
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-3-1.png;01_Jibberish-Mittel-3-1.png;01_Jibberish-Mittel;01_Jibberish-Mittel;299,4385;214,0805;188,8828;702,4018;True;80;True
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-3-2.png;01_Jibberish-Mittel-3-2.png;01_Jibberish-Mittel;01_Jibberish-Mittel;206,4342;427,0685;135,0368;768,5395;True;86;True
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-4-1.png;01_Jibberish-Mittel-4-1.png;01_Jibberish-Mittel;01_Jibberish-Mittel;191,2616;416,0276;107,5287;714,8179;True;132;True
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-4-2.png;01_Jibberish-Mittel-4-2.png;01_Jibberish-Mittel;01_Jibberish-Mittel;199,3;226,7648;310,1762;736,241;True;138;True
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-5-1.png;01_Jibberish-Mittel-5-1.png;01_Jibberish-Mittel;01_Jibberish-Mittel;199,1772;112,8734;112,8846;424,9352;True;107;True
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-5-2.png;01_Jibberish-Mittel-5-2.png;01_Jibberish-Mittel;01_Jibberish-Mittel;195,6696;403,0327;201,1243;799,8266;True;114;True
orb;\\VBOXSVR\evaluation_screenshots\02_Link_Only-Schwer-1-1.png;02_Link_Only-Schwer-1-1.png;02_Link_Only-Schwer;01_Jibberish-Mittel;201,2082;36,975;135,4502;373,6334;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\02_Link_Only-Schwer-1-2.png;02_Link_Only-Schwer-1-2.png;02_Link_Only-Schwer;01_Jibberish-Mittel;212,5857;314,8265;177,5127;704,9249;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\02_Link_Only-Schwer-2-1.png;02_Link_Only-Schwer-2-1.png;02_Link_Only-Schwer;01_Jibberish-Mittel;197,1913;320,8632;120,6346;638,6891;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\02_Link_Only-Schwer-2-2.png;02_Link_Only-Schwer-2-2.png;02_Link_Only-Schwer;01_Jibberish-Mittel;109,2527;516,7698;202,7095;828,732;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\02_Link_Only-Schwer-3-1.png;02_Link_Only-Schwer-3-1.png;02_Link_Only-Schwer;01_Jibberish-Mittel;188,7999;299,9216;225,331;714,0525;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\02_Link_Only-Schwer-3-2.png;02_Link_Only-Schwer-3-2.png;02_Link_Only-Schwer;01_Jibberish-Mittel;276,6663;446,0207;123,5204;846,2074;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\02_Link_Only-Schwer-4-1.png;02_Link_Only-Schwer-4-1.png;02_Link_Only-Schwer;01_Jibberish-Mittel;204,5421;397,3149;202,9767;804,8337;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\02_Link_Only-Schwer-4-2.png;02_Link_Only-Schwer-4-2.png;02_Link_Only-Schwer;01_Jibberish-Mittel;205,7135;427,0889;185,8112;818,6136;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\02_Link_Only-Schwer-5-1.png;02_Link_Only-Schwer-5-1.png;02_Link_Only-Schwer;01_Jibberish-Mittel;203,0679;119,7224;219,1907;541,981;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\02_Link_Only-Schwer-5-2.png;02_Link_Only-Schwer-5-2.png;02_Link_Only-Schwer;01_Jibberish-Mittel;323,83;303,0022;293,6418;920,474;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\03_Targo_Bank-Schwer-1-1.png;03_Targo_Bank-Schwer-1-1.png;03_Targo_Bank-Schwer;01_Jibberish-Mittel;315,3638;104,5114;125,9037;545,7789;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\03_Targo_Bank-Schwer-1-2.png;03_Targo_Bank-Schwer-1-2.png;03_Targo_Bank-Schwer;01_Jibberish-Mittel;213,761;286,6077;118,4829;618,8516;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\03_Targo_Bank-Schwer-1-3.png;03_Targo_Bank-Schwer-1-3.png;03_Targo_Bank-Schwer;01_Jibberish-Mittel;194,1661;109,2849;183,6276;487,0786;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\03_Targo_Bank-Schwer-2-1.png;03_Targo_Bank-Schwer-2-1.png;03_Targo_Bank-Schwer;01_Jibberish-Mittel;275,7742;229,7466;187,1693;692,6901;False;0;False
