detector;screenshot_path;artifact_goal;artifacttype_retrieved;features_extracted;matching_finished;total;found;match_count
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-1-1.png;01_Jibberish-Mittel;194,5181;199,1824;104,1636;497,8641;True;92
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-1-2.png;01_Jibberish-Mittel;124,5368;114,4345;404,786;643,7573;True;130
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-2-1.png;01_Jibberish-Mittel;269,1349;212,4507;127,4385;609,0241;True;149
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-2-2.png;01_Jibberish-Mittel;200,9864;533,1839;131,8434;866,0137;True;90
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-3-1.png;01_Jibberish-Mittel;210,6106;393,5231;115,1031;719,2368;True;80
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-3-2.png;01_Jibberish-Mittel;206,2051;420,9912;198,1341;825,3304;True;86
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-4-1.png;01_Jibberish-Mittel;191,4184;423,9663;117,1983;732,583;True;132
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-4-2.png;01_Jibberish-Mittel;203,6173;311,2285;217,1413;731,9871;True;138
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-5-1.png;01_Jibberish-Mittel;203,6022;113,3572;188,785;505,7444;True;107
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-5-2.png;01_Jibberish-Mittel;209,4689;297,4678;206,2749;713,2116;True;114
orb;\\VBOXSVR\evaluation_screenshots\02_Link_Only-Schwer-1-1.png;01_Jibberish-Mittel;215,6132;101,6618;207,6035;524,8785;False;0
orb;\\VBOXSVR\evaluation_screenshots\02_Link_Only-Schwer-1-2.png;01_Jibberish-Mittel;208,6275;300,4666;117,6888;626,7829;False;0
orb;\\VBOXSVR\evaluation_screenshots\02_Link_Only-Schwer-2-1.png;01_Jibberish-Mittel;192,8498;197,7919;212,7426;603,3843;False;0
orb;\\VBOXSVR\evaluation_screenshots\02_Link_Only-Schwer-2-2.png;01_Jibberish-Mittel;211,2377;307,486;189,1468;707,8705;False;0
orb;\\VBOXSVR\evaluation_screenshots\02_Link_Only-Schwer-3-1.png;01_Jibberish-Mittel;199,8401;308,646;187,6;696,0861;False;0
orb;\\VBOXSVR\evaluation_screenshots\02_Link_Only-Schwer-3-2.png;01_Jibberish-Mittel;193,0112;430,4651;182,0305;805,5068;False;0
orb;\\VBOXSVR\evaluation_screenshots\02_Link_Only-Schwer-4-1.png;01_Jibberish-Mittel;285,8321;221,3573;180,8696;688,059;False;0
orb;\\VBOXSVR\evaluation_screenshots\02_Link_Only-Schwer-4-2.png;01_Jibberish-Mittel;197,8241;421,604;185,9288;805,3569;False;0
orb;\\VBOXSVR\evaluation_screenshots\02_Link_Only-Schwer-5-1.png;01_Jibberish-Mittel;136,53;187,3374;200,0909;523,9583;False;0
orb;\\VBOXSVR\evaluation_screenshots\02_Link_Only-Schwer-5-2.png;01_Jibberish-Mittel;288,7983;321,5767;190,5325;800,9075;False;0
orb;\\VBOXSVR\evaluation_screenshots\03_Targo_Bank-Schwer-1-1.png;01_Jibberish-Mittel;191,5644;100,4487;209,8357;501,8488;False;0
orb;\\VBOXSVR\evaluation_screenshots\03_Targo_Bank-Schwer-1-2.png;01_Jibberish-Mittel;298,5339;106,0236;201,2036;605,7611;False;0
