detector;screenshot_path;temp;artifact_visible;artifact_goal;artifacttype_retrieved;features_extracted;matching_finished;total;found;match_count;goal
orb;\\VBOXSVR\evaluation_screenshots_scaled\01_Jibberish-Mittel-1-1.png;01_Jibberish-Mittel-1-1.png;01_Jibberish-Mittel;01_Jibberish-Mittel;206,606;201,1813;106,1451;513,9324;True;67;True
orb;\\VBOXSVR\evaluation_screenshots_scaled\01_Jibberish-Mittel-1-2.png;01_Jibberish-Mittel-1-2.png;01_Jibberish-Mittel;01_Jibberish-Mittel;199,7667;116,4758;294,9072;611,1497;True;89;True
orb;\\VBOXSVR\evaluation_screenshots_scaled\01_Jibberish-Mittel-2-1.png;01_Jibberish-Mittel-2-1.png;01_Jibberish-Mittel;01_Jibberish-Mittel;210,0215;327,3784;188,7977;726,1976;False;0;True
orb;\\VBOXSVR\evaluation_screenshots_scaled\01_Jibberish-Mittel-2-2.png;01_Jibberish-Mittel-2-2.png;01_Jibberish-Mittel;01_Jibberish-Mittel;208,6166;304,9246;177,8453;691,3865;False;0;True
orb;\\VBOXSVR\evaluation_screenshots_scaled\01_Jibberish-Mittel-3-1.png;01_Jibberish-Mittel-3-1.png;01_Jibberish-Mittel;01_Jibberish-Mittel;195,3439;220,4112;196,1505;611,9056;False;0;True
orb;\\VBOXSVR\evaluation_screenshots_scaled\01_Jibberish-Mittel-3-2.png;01_Jibberish-Mittel-3-2.png;01_Jibberish-Mittel;01_Jibberish-Mittel;213,5598;314,3667;117,217;645,1435;False;0;True
orb;\\VBOXSVR\evaluation_screenshots_scaled\01_Jibberish-Mittel-4-1.png;01_Jibberish-Mittel-4-1.png;01_Jibberish-Mittel;01_Jibberish-Mittel;204,1491;404,8108;206,9406;815,9005;False;0;True
orb;\\VBOXSVR\evaluation_screenshots_scaled\01_Jibberish-Mittel-5-1.png;01_Jibberish-Mittel-5-1.png;01_Jibberish-Mittel;01_Jibberish-Mittel;194,1677;309,4593;197,5115;701,1385;False;0;True
orb;\\VBOXSVR\evaluation_screenshots_scaled\01_Jibberish-Mittel-5-2.png;01_Jibberish-Mittel-5-2.png;01_Jibberish-Mittel;01_Jibberish-Mittel;194,1266;222,9668;189,314;606,4074;False;0;True
orb;\\VBOXSVR\evaluation_screenshots_scaled\02_Link_Only-Schwer-1-1.png;02_Link_Only-Schwer-1-1.png;02_Link_Only-Schwer;01_Jibberish-Mittel;189,5811;216,7687;218,0219;624,3717;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\02_Link_Only-Schwer-3-1.png;02_Link_Only-Schwer-3-1.png;02_Link_Only-Schwer;01_Jibberish-Mittel;125,4917;404,5066;116,8095;646,8078;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\02_Link_Only-Schwer-4-1.png;02_Link_Only-Schwer-4-1.png;02_Link_Only-Schwer;01_Jibberish-Mittel;189,3534;292,5772;123,299;605,2296;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\02_Link_Only-Schwer-4-2.png;02_Link_Only-Schwer-4-2.png;02_Link_Only-Schwer;01_Jibberish-Mittel;132,2976;376,5219;123,5209;632,3404;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\02_Link_Only-Schwer-5-1.png;02_Link_Only-Schwer-5-1.png;02_Link_Only-Schwer;01_Jibberish-Mittel;190,6441;312,8142;117,7886;621,2469;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\03_Targo_Bank-Schwer-1-1.png;03_Targo_Bank-Schwer-1-1.png;03_Targo_Bank-Schwer;01_Jibberish-Mittel;199,0841;121,4664;135,7526;456,3031;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\03_Targo_Bank-Schwer-1-2.png;03_Targo_Bank-Schwer-1-2.png;03_Targo_Bank-Schwer;01_Jibberish-Mittel;191,7465;113,3287;113,5975;418,6727;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\03_Targo_Bank-Schwer-2-1.png;03_Targo_Bank-Schwer-2-1.png;03_Targo_Bank-Schwer;01_Jibberish-Mittel;193,0247;206,2738;197,642;596,9405;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\03_Targo_Bank-Schwer-2-2.png;03_Targo_Bank-Schwer-2-2.png;03_Targo_Bank-Schwer;01_Jibberish-Mittel;130,9353;278,1984;190,8241;599,9578;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\03_Targo_Bank-Schwer-3-1.png;03_Targo_Bank-Schwer-3-1.png;03_Targo_Bank-Schwer;01_Jibberish-Mittel;127,0551;300,4107;120,9392;548,405;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\03_Targo_Bank-Schwer-3-2.png;03_Targo_Bank-Schwer-3-2.png;03_Targo_Bank-Schwer;01_Jibberish-Mittel;196,8011;138,8631;130,331;465,9952;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\03_Targo_Bank-Schwer-4-1.png;03_Targo_Bank-Schwer-4-1.png;03_Targo_Bank-Schwer;01_Jibberish-Mittel;203,3039;218,4012;171,7615;593,4666;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\03_Targo_Bank-Schwer-5-1.png;03_Targo_Bank-Schwer-5-1.png;03_Targo_Bank-Schwer;01_Jibberish-Mittel;207,3615;214,7975;196,1525;618,3115;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\03_Targo_Bank-Schwer-5-2.png;03_Targo_Bank-Schwer-5-2.png;03_Targo_Bank-Schwer;01_Jibberish-Mittel;116,5839;198,0435;116,7458;431,3732;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\04_Targeted_IT_Abteilung-Einfach-1-1.png;04_Targeted_IT_Abteilung-Einfach-1-1.png;04_Targeted_IT_Abteilung-Einfach;01_Jibberish-Mittel;196,5452;112,181;189,7903;498,5165;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\04_Targeted_IT_Abteilung-Einfach-1-2.png;04_Targeted_IT_Abteilung-Einfach-1-2.png;04_Targeted_IT_Abteilung-Einfach;01_Jibberish-Mittel;196,4924;121,1195;196,7304;514,3423;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\04_Targeted_IT_Abteilung-Einfach-3-1.png;04_Targeted_IT_Abteilung-Einfach-3-1.png;04_Targeted_IT_Abteilung-Einfach;01_Jibberish-Mittel;199,9045;316,9354;115,349;632,1889;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\04_Targeted_IT_Abteilung-Einfach-3-2.png;04_Targeted_IT_Abteilung-Einfach-3-2.png;04_Targeted_IT_Abteilung-Einfach;01_Jibberish-Mittel;124,1341;230,1397;96,3708;450,6446;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\04_Targeted_IT_Abteilung-Einfach-5-1.png;04_Targeted_IT_Abteilung-Einfach-5-1.png;04_Targeted_IT_Abteilung-Einfach;01_Jibberish-Mittel;193,3562;194,7581;120,105;508,2193;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\04_Targeted_IT_Abteilung-Einfach-5-2.png;04_Targeted_IT_Abteilung-Einfach-5-2.png;04_Targeted_IT_Abteilung-Einfach;01_Jibberish-Mittel;128,8947;196,2024;191,1708;516,2679;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\04_Targeted_IT_Abteilung-Schwer-1-1.png;04_Targeted_IT_Abteilung-Schwer-1-1.png;04_Targeted_IT_Abteilung-Schwer;01_Jibberish-Mittel;195,9959;209,2238;114,3822;519,6019;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\04_Targeted_IT_Abteilung-Schwer-1-2.png;04_Targeted_IT_Abteilung-Schwer-1-2.png;04_Targeted_IT_Abteilung-Schwer;01_Jibberish-Mittel;205,9571;182,5974;112,2453;500,7998;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\04_Targeted_IT_Abteilung-Schwer-2-1.png;04_Targeted_IT_Abteilung-Schwer-2-1.png;04_Targeted_IT_Abteilung-Schwer;01_Jibberish-Mittel;194,9415;210,5898;117,6257;523,157;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\04_Targeted_IT_Abteilung-Schwer-3-1.png;04_Targeted_IT_Abteilung-Schwer-3-1.png;04_Targeted_IT_Abteilung-Schwer;01_Jibberish-Mittel;131,143;277,7757;189,3646;598,2833;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\04_Targeted_IT_Abteilung-Schwer-4-1.png;04_Targeted_IT_Abteilung-Schwer-4-1.png;04_Targeted_IT_Abteilung-Schwer;01_Jibberish-Mittel;139,1379;283,8453;120,7595;543,7427;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\04_Targeted_IT_Abteilung-Schwer-5-1.png;04_Targeted_IT_Abteilung-Schwer-5-1.png;04_Targeted_IT_Abteilung-Schwer;01_Jibberish-Mittel;283,908;106,0305;119,9059;509,8444;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\05_Newsletter-Schwer-4-1.png;05_Newsletter-Schwer-4-1.png;05_Newsletter-Schwer;01_Jibberish-Mittel;205,9069;219,1824;119,2207;544,31;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\05_Newsletter-Schwer-5-1.png;05_Newsletter-Schwer-5-1.png;05_Newsletter-Schwer;01_Jibberish-Mittel;195,4148;207,2102;215,3188;617,9438;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\06_Versichertenkarte-Schwer-1-1.png;06_Versichertenkarte-Schwer-1-1.png;06_Versichertenkarte-Schwer;01_Jibberish-Mittel;190,4314;199,9719;119,7145;510,1178;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\06_Versichertenkarte-Schwer-1-2.png;06_Versichertenkarte-Schwer-1-2.png;06_Versichertenkarte-Schwer;01_Jibberish-Mittel;207,7958;193,1137;109,0578;509,9673;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\06_Versichertenkarte-Schwer-1-3.png;06_Versichertenkarte-Schwer-1-3.png;06_Versichertenkarte-Schwer;01_Jibberish-Mittel;196,4889;121,1417;183,2473;500,8779;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\06_Versichertenkarte-Schwer-2-1.png;06_Versichertenkarte-Schwer-2-1.png;06_Versichertenkarte-Schwer;01_Jibberish-Mittel;137,6351;199,4717;189,7485;526,8553;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\06_Versichertenkarte-Schwer-2-2.png;06_Versichertenkarte-Schwer-2-2.png;06_Versichertenkarte-Schwer;01_Jibberish-Mittel;197,4205;193,9775;125,0176;516,4156;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\06_Versichertenkarte-Schwer-2-3.png;06_Versichertenkarte-Schwer-2-3.png;06_Versichertenkarte-Schwer;01_Jibberish-Mittel;126,6154;383,1732;113,1589;622,9475;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\06_Versichertenkarte-Schwer-2-4.png;06_Versichertenkarte-Schwer-2-4.png;06_Versichertenkarte-Schwer;01_Jibberish-Mittel;188,0491;216,7358;185,352;590,1369;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\06_Versichertenkarte-Schwer-3-1.png;06_Versichertenkarte-Schwer-3-1.png;06_Versichertenkarte-Schwer;01_Jibberish-Mittel;193,5104;232,4333;218,8406;644,7843;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\06_Versichertenkarte-Schwer-3-2.png;06_Versichertenkarte-Schwer-3-2.png;06_Versichertenkarte-Schwer;01_Jibberish-Mittel;198,7479;326,8407;185,6335;711,2221;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\06_Versichertenkarte-Schwer-3-3.png;06_Versichertenkarte-Schwer-3-3.png;06_Versichertenkarte-Schwer;01_Jibberish-Mittel;189,8338;232,6676;130,3886;552,89;False;0;False
