detector;screenshot_path;artifact_goal;artifacttype_retrieved;features_extracted;matching_finished;total;found;match_count
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;28,4737;88,0568;74,2608;190,7913;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;94,9824;99,2978;100,638;294,9182;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;92,3969;119,8373;70,6262;282,8604;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;111,5735;94,553;6,7035;212,83;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;78,5521;112,6404;6,8741;198,0666;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;188,4228;29,9283;7,7661;226,1172;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;19,5099;190,2555;7,8777;217,6431;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;90,3271;96,9169;7,5816;194,8256;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;81,9468;100,0651;7,7751;189,787;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;25,0332;90,0992;74,3743;189,5067;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;23,3779;91,2748;79,3564;194,0091;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;80,5492;112,9903;7,3004;200,8399;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;20,3882;94,982;6,739;122,1092;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;89,7092;28,7535;7,109;125,5717;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;88,9516;29,4532;68,7824;187,1872;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;89,5777;30,4523;7,1331;127,1631;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;18,9972;90,7912;7,4653;117,2537;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;18,9063;88,6926;7,0176;114,6165;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;20,6704;97,8884;77,3172;195,876;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;20,5921;92,6118;6,7871;119,991;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;90,8962;31,4488;7,4195;129,7645;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;21,5633;89,7542;7,4954;118,8129;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;85,9156;95,5054;6,9188;188,3398;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;19,1337;94,914;6,9411;120,9888;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;84,292;87,2032;6,854;178,3492;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;84,5631;29,333;64,506;178,4021;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;19,7152;96,1583;7,5045;123,378;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;20,3209;88,9638;74,6081;183,8928;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;79,6161;95,1942;7,1613;181,9716;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;80,2429;99,6291;6,8926;186,7646;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;19,2624;100,4784;74,0992;193,84;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;85,0303;100,8145;6,8271;192,6719;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;19,5303;95,3975;6,8847;121,8125;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;19,4195;88,569;7,4448;115,4333;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;19,2381;88,7758;76,4935;184,5074;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;91,6419;91,6048;7,2642;190,5109;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;87,4566;29,2911;7,1054;123,8531;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;86,2689;29,2414;6,9998;122,5101;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;84,6573;29,1324;7,4781;121,2678;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;91,2626;95,6658;6,8657;193,7941;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;19,4122;83,4673;6,9114;109,7909;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;79,5806;29,0831;7,4935;116,1572;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;88,3945;30,3712;6,9422;125,7079;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;20,9833;87,0885;7,1271;115,1989;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;93,363;95,1725;7,4867;196,0222;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;83,1068;100,9866;7,538;191,6314;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;21,1865;99,217;6,9837;127,3872;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;90,1995;30,8347;69,389;190,4232;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;81,0388;104,0992;7,1232;192,2612;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;19,947;89,9681;88,1288;198,0439;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;79,7723;97,1179;11,9762;188,8664;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;78,9691;116,8873;6,9827;202,8391;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;83,4304;102,3933;7,2818;193,1055;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;92,4893;114,5303;7,195;214,2146;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;105,5645;91,0968;7,4693;204,1306;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;97,2468;99,7585;7,1017;204,107;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;112,0817;96,3301;7,1077;215,5195;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;93,0888;96,2416;7,3271;196,6575;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;88,0492;29,979;7,1407;125,1689;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;20,2558;93,8723;7,2122;121,3403;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;86,3452;88,0902;6,8856;181,321;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;19,919;94,3671;7,0886;121,3747;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;20,8235;95,3894;7,2019;123,4148;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;20,8508;93,4718;7,4412;121,7638;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;19,9488;93,2215;6,9349;120,1052;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;19,9499;90,0854;90,5496;200,5849;False;0
